Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
Shezone,Embellished Mojaris with Laser Cuts Flats,₹799,MRP ₹1999,(60% OFF),4.4,480 Ratings,"A pair of peach-coloured mojaris embellished with laser cuts
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Mojaris,Square Toe,Slip-On,Embellished,Casual,Laser Cuts,Regular,PVC,1 month
Shoetopia,Open Toe Flats With Bows,₹699,MRP ₹1999,(65% OFF),4.4,34 Ratings,"A pair of black open toe flats, bow & no back strap detail
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Party,Bows,Regular,TPR,
Shoetopia,Colourblocked Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,238 Ratings,"A pair of black colourblocked open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Colourblocked,Casual,,Regular,TPR,
DressBerry,Black Embellished Open Toe Flats,₹584,MRP ₹1699,(Rs. 1115 OFF),4.1,355 Ratings,"A pair of black strappy open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Embellished,Casual,,Regular,PVC,
Mochi,Embellished One Toe Flats,₹1194,MRP ₹1990,(40% OFF),4.1,116 Ratings,"A pair of rose gold-toned and white one toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,Backstrap,Embellished,Party,Western - Embellished,Regular,TPR,1 month
Mast & Harbour,Pointed Toe Ballerinas,₹699,MRP ₹1499,(Rs. 800 OFF),4.1,106 Ratings,"A pair of nude-coloured pointed toe ballerinas
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,,Regular,TPR,1 month
Anouk,Cream-Coloured Ethnic Embellished One Toe Flats,₹589,MRP ₹1299,(Rs. 710 OFF),4.1,561 Ratings,"A pair of cream-coloured one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,PVC,
Carlton London,Embellished T-Strap Flats,₹1099,MRP ₹1999,(45% OFF),4.1,65 Ratings,"A pair of beige embellished t-strap flats
Ankle Loop detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand manufacturer",T-Strap Flats,Open Toe,Ankle Loop,Embellished,Casual,Western - Embellished,Regular,TPR,15 days
Mast & Harbour,Women Solid Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,64 Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Lace-Ups,Solid,Casual,,Regular,Resin,
Shoetopia,Women Embellished Pointed Toe Ballerinas,₹689,MRP ₹1499,(54% OFF),4.1,149 Ratings,"A pair of brown ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,TPR,
Metro,Printed Open Toe Flats,₹929,MRP ₹1690,(45% OFF),4.2,567 Ratings,"A pair of white and brown printed open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,,Regular,Resin,1 month
Mochi,Women Embellished Open Toe Flats,₹1488,MRP ₹2290,(35% OFF),4.3,102 Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,Resin,1 month
Allen Solly,Women Pointed Toe Mules,₹1658,MRP ₹2099,(21% OFF),4.5,30 Ratings,"A pair of mustard yellow mules, has regular styling with backstrap
Upper Material: PU
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Mules,Pointed Toe,Backstrap,Solid,Casual,,Regular,TPR,6 months
Vishudh,Women Tan Textured Open Toe Flats,₹509,MRP ₹999,(49% OFF),4,2.3k Ratings,"A pair of tan open-toed flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Textured,Ethnic,Laser Cuts,Regular,PVC,15 days
